transaction_id,account_id,customer_id,amount,currency,merchant_category,location,is_foreign,device,timestamp
TXN00001,GB52EGKN97252175250074,CUST0006,1730.52,USD,utilities,Germany,True,new,2026-07-20T10:28:15.073874
TXN00002,GB86JAYN49308536866326,CUST0060,7232.88,USD,atm_withdrawal,USA,False,new,2026-06-26T14:28:15.073898
TXN00003,GB29RTXQ33146591166553,CUST0077,189.04,USD,gas_station,Mexico,False,known,2026-07-27T09:28:15.073908
TXN00004,GB54DIPU43503136502491,CUST0066,387.25,USD,groceries,Mexico,False,known,2026-07-29T04:28:15.073918
TXN00005,GB13AQEO23184322259136,CUST0036,2269.98,USD,online_retail,USA,False,known,2026-05-19T20:28:15.073924
TXN00006,GB96SCHM62103886291279,CUST0039,1598.16,USD,wire_transfer,Mexico,False,known,2026-07-05T13:28:15.073931
TXN00007,GB87EDBA99688143536822,CUST0029,248.82,USD,utilities,UK,False,new,2026-07-24T06:28:15.073937
TXN00008,GB27AJHG50488899210752,CUST0074,5626.97,USD,dining,UK,False,known,2026-07-12T22:28:15.073944
TXN00009,GB14FUZK69961125355449,CUST0057,7565.18,USD,wire_transfer,USA,False,known,2026-05-22T21:28:15.073951
TXN00010,GB93YOHX03718376452088,CUST0065,659.74,USD,entertainment,Mexico,False,known,2026-05-14T13:28:15.073958
TXN00011,GB29RTXQ33146591166553,CUST0077,9127.68,USD,online_retail,Mexico,False,known,2026-07-24T11:28:15.073966
TXN00012,GB60BJGZ94070164510463,CUST0080,2569.43,USD,gas_station,UK,False,new,2026-06-01T04:28:15.073973
TXN00013,GB11HXVG31279757366096,CUST0086,3065.28,USD,dining,UK,False,known,2026-05-23T16:28:15.073981
TXN00014,GB69MVYF71875003691559,CUST0052,5415.72,USD,atm_withdrawal,UK,False,new,2026-07-06T10:28:15.073988
TXN00015,GB26GYYF92712966667600,CUST0007,4634.29,USD,entertainment,USA,False,new,2026-06-26T19:28:15.073993
TXN00016,GB07KCYE04618723460136,CUST0064,8361.62,USD,gas_station,USA,False,known,2026-05-22T02:28:15.074000
TXN00017,GB42NNBK58303441448850,CUST0095,6842.11,USD,online_retail,USA,False,known,2026-07-27T17:28:15.074008
TXN00018,GB40XBRM80347644726490,CUST0087,7533.9,USD,electronics,UK,False,new,2026-06-05T10:28:15.074015
TXN00019,GB92TBZR81172980686508,CUST0040,6309.3,USD,entertainment,Mexico,False,new,2026-07-06T15:28:15.074021
